red,red,1,red,mdl-color-text--red,mdl-color--red,#f44336
red,red,50,red-50,mdl-color-text--red-50,mdl-color--red-50,#ffebee
red,red,100,red-100,mdl-color-text--red-100,mdl-color--red-100,#ffcdd2
red,red,200,red-200,mdl-color-text--red-200,mdl-color--red-200,#ef9a9a
red,red,300,red-300,mdl-color-text--red-300,mdl-color--red-300,#e57373
red,red,400,red-400,mdl-color-text--red-400,mdl-color--red-400,#ef5350
red,red,500,red-500,mdl-color-text--red-500,mdl-color--red-500,#f44336
red,red,600,red-600,mdl-color-text--red-600,mdl-color--red-600,#e53935
red,red,700,red-700,mdl-color-text--red-700,mdl-color--red-700,#d32f2f
red,red,800,red-800,mdl-color-text--red-800,mdl-color--red-800,#c62828
red,red,900,red-900,mdl-color-text--red-900,mdl-color--red-900,#b71c1c
red,red,A100,red-A100,mdl-color-text--red-A100,mdl-color--red-A100,#ff8a80
red,red,A200,red-A200,mdl-color-text--red-A200,mdl-color--red-A200,#ff5252
red,red,A400,red-A400,mdl-color-text--red-A400,mdl-color--red-A400,#ff1744
red,red,A700,red-A700,mdl-color-text--red-A700,mdl-color--red-A700,#d50000
pink,pink,1,pink,mdl-color-text--pink,mdl-color--pink,#e91e63
pink,pink,50,pink-50,mdl-color-text--pink-50,mdl-color--pink-50,#fce4ec
pink,pink,100,pink-100,mdl-color-text--pink-100,mdl-color--pink-100,#f8bbd0
pink,pink,200,pink-200,mdl-color-text--pink-200,mdl-color--pink-200,#f48fb1
pink,pink,300,pink-300,mdl-color-text--pink-300,mdl-color--pink-300,#f06292
pink,pink,400,pink-400,mdl-color-text--pink-400,mdl-color--pink-400,#ec407a
pink,pink,500,pink-500,mdl-color-text--pink-500,mdl-color--pink-500,#e91e63
pink,pink,600,pink-600,mdl-color-text--pink-600,mdl-color--pink-600,#d81b60
pink,pink,700,pink-700,mdl-color-text--pink-700,mdl-color--pink-700,#c2185b
pink,pink,800,pink-800,mdl-color-text--pink-800,mdl-color--pink-800,#ad1457
pink,pink,900,pink-900,mdl-color-text--pink-900,mdl-color--pink-900,#880e4f
pink,pink,A100,pink-A100,mdl-color-text--pink-A100,mdl-color--pink-A100,#ff80ab
pink,pink,A200,pink-A200,mdl-color-text--pink-A200,mdl-color--pink-A200,#ff4081
pink,pink,A400,pink-A400,mdl-color-text--pink-A400,mdl-color--pink-A400,#f50057
pink,pink,A700,pink-A700,mdl-color-text--pink-A700,mdl-color--pink-A700,#c51162
purple,purple,1,purple,mdl-color-text--purple,mdl-color--purple,#9c27b0
purple,purple,50,purple-50,mdl-color-text--purple-50,mdl-color--purple-50,#f3e5f5
purple,purple,100,purple-100,mdl-color-text--purple-100,mdl-color--purple-100,#e1bee7
purple,purple,200,purple-200,mdl-color-text--purple-200,mdl-color--purple-200,#ce93d8
purple,purple,300,purple-300,mdl-color-text--purple-300,mdl-color--purple-300,#ba68c8
purple,purple,400,purple-400,mdl-color-text--purple-400,mdl-color--purple-400,#ab47bc
purple,purple,500,purple-500,mdl-color-text--purple-500,mdl-color--purple-500,#9c27b0
purple,purple,600,purple-600,mdl-color-text--purple-600,mdl-color--purple-600,#8e24aa
purple,purple,700,purple-700,mdl-color-text--purple-700,mdl-color--purple-700,#7b1fa2
purple,purple,800,purple-800,mdl-color-text--purple-800,mdl-color--purple-800,#6a1b9a
purple,purple,900,purple-900,mdl-color-text--purple-900,mdl-color--purple-900,#4a148c
purple,purple,A100,purple-A100,mdl-color-text--purple-A100,mdl-color--purple-A100,#ea80fc
purple,purple,A200,purple-A200,mdl-color-text--purple-A200,mdl-color--purple-A200,#e040fb
purple,purple,A400,purple-A400,mdl-color-text--purple-A400,mdl-color--purple-A400,#d500f9
